YEAR_x,TEAM,WINPERCENT_x,PREV_YEAR_x,GP_y,WINPERCENT_y,WinPCT_2013_14,MIN_y,PTS_y,FGM_y,FGA_y,FGPercent_y,ThreePtMade_y,ThreePtAttempts_y,ThreePtPercent_y,FTM_y,FTA_y,FTPercent_y,OREB_y,DREB_y,REB_y,AST_y,TOV_y,STL_y,BLK_y,BLKA_y,PF_y,PFD_y,PlusMinus_y
2015-16,Indiana Pacers,0.549,2014-15,82,0.463,0.683,48.4,97.3,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,14,6.2,4.6,4.7,21.2,21.4,0.3
2015-16,Detroit Pistons,0.537,2014-15,82,0.39,0.354,48.4,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19,19.3,-1
2015-16,Portland Trail Blazers,0.537,2014-15,82,0.622,0.659,48.4,102.8,38.7,86,45,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,4.2
2015-16,Dallas Mavericks,0.512,2014-15,82,0.61,0.598,48.5,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13,8.1,4.5,3.8,20,22.1,2.9
2015-16,Chicago Bulls,0.512,2014-15,82,0.61,0.585,48.5,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2,3
2015-16,Memphis Grizzlies,0.512,2014-15,82,0.671,0.61,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2
2015-16,Houston Rockets,0.5,2014-15,82,0.683,0.659,48.3,103.9,37,83.3,44.4,11.4,32.7,34.8,18.6,26,71.5,11.7,32,43.7,22.2,16.7,9.5,5,5.3,22,21.1,3.4
2015-16,Washington Wizards,0.5,2014-15,82,0.561,0.537,48.7,98.5,38.3,82.8,46.2,6.1,16.8,36,15.9,21.4,74.2,10.5,34.2,44.7,24,15,7.3,4.6,4.3,20.8,19.6,0.7
2015-16,Utah Jazz,0.488,2014-15,82,0.463,0.305,48.1,95.1,35.4,79.2,44.7,7.4,21.7,34.3,17,23.5,72.1,12,31.9,44,19.9,15.3,7.6,6,4.7,19.3,19.6,0.2
2015-16,Orlando Magic,0.427,2014-15,82,0.305,0.28,48.2,95.7,37.5,82.8,45.3,6.8,19.5,34.7,13.9,19.1,72.9,10,31.8,41.8,20.6,14.9,7.9,3.8,5.4,20.9,17.9,-5.7
